image,noise,patch,clean_hash,noisy_hash,A_hash,A_dc_hash,dct_patch_hash,y_hash,V7_y_hash,OMP_y_hash,LASSO_y_hash,matched,A6_dim_check
test001,25.0,37604,730ca90508a632a2,8fbbeba85d5c3229,a5ed13de9744104a,4c7824b75d9789b2,ae7f0a3987bf3651,d0dcda82b869028d,d0dcda82b869028d,d0dcda82b869028d,d0dcda82b869028d,PASS,"A_ac: (37, 63) (37x63), DC: scalar (theta[0])"
test002,25.0,37604,4acdb439e0284d69,906d52b4d39f282f,a5ed13de9744104a,4c7824b75d9789b2,782e6620fb5cb21d,1a2e5fa231761634,1a2e5fa231761634,1a2e5fa231761634,1a2e5fa231761634,PASS,"A_ac: (37, 63) (37x63), DC: scalar (theta[0])"
test003,25.0,37604,084b567e41ce74d5,60a74184b83b8257,a5ed13de9744104a,4c7824b75d9789b2,340e764b8ae02e37,f6d639c6761848d5,f6d639c6761848d5,f6d639c6761848d5,f6d639c6761848d5,PASS,"A_ac: (37, 63) (37x63), DC: scalar (theta[0])"
test004,25.0,37604,b64c81715209d578,626ba8f6e98a7144,a5ed13de9744104a,4c7824b75d9789b2,09be52a6313ed5d1,05999022923fb92d,05999022923fb92d,05999022923fb92d,05999022923fb92d,PASS,"A_ac: (37, 63) (37x63), DC: scalar (theta[0])"
test005,25.0,37604,8da1db3626e76507,9e948b12b8f534cb,a5ed13de9744104a,4c7824b75d9789b2,7d7f8c7f79ecc443,aca0ada73c3baca1,aca0ada73c3baca1,aca0ada73c3baca1,aca0ada73c3baca1,PASS,"A_ac: (37, 63) (37x63), DC: scalar (theta[0])"
test006,25.0,37604,379ae9a750014a40,341439497fdb5038,a5ed13de9744104a,4c7824b75d9789b2,90fda61166785811,50a6a959f9e60ee7,50a6a959f9e60ee7,50a6a959f9e60ee7,50a6a959f9e60ee7,PASS,"A_ac: (37, 63) (37x63), DC: scalar (theta[0])"
test007,25.0,37604,02862254a56d809f,eb9736b3f06aab66,a5ed13de9744104a,4c7824b75d9789b2,8dd235394c2c1a81,ffd7ef6692552c2d,ffd7ef6692552c2d,ffd7ef6692552c2d,ffd7ef6692552c2d,PASS,"A_ac: (37, 63) (37x63), DC: scalar (theta[0])"
test008,25.0,37604,7c190224a4e2ab10,e1b0f53be65aafe6,a5ed13de9744104a,4c7824b75d9789b2,90bc7056377f4523,c1906e83b37a1066,c1906e83b37a1066,c1906e83b37a1066,c1906e83b37a1066,PASS,"A_ac: (37, 63) (37x63), DC: scalar (theta[0])"
test009,25.0,37604,fe6b3d6ee4249ea7,b6f820a2ec13f547,a5ed13de9744104a,4c7824b75d9789b2,7508c64e5e90e58f,e9ad0ab61444b9b9,e9ad0ab61444b9b9,e9ad0ab61444b9b9,e9ad0ab61444b9b9,PASS,"A_ac: (37, 63) (37x63), DC: scalar (theta[0])"
test010,25.0,37604,23b6cd24f00ba63d,8ff6d73385021a81,a5ed13de9744104a,4c7824b75d9789b2,dbf42cfc950d5911,798eaf99210606c7,798eaf99210606c7,798eaf99210606c7,798eaf99210606c7,PASS,"A_ac: (37, 63) (37x63), DC: scalar (theta[0])"
test001,50.0,37604,730ca90508a632a2,3cd81fdffada53cc,a5ed13de9744104a,4c7824b75d9789b2,ffcf318cb32385fb,0b2e1b17ad508f71,0b2e1b17ad508f71,0b2e1b17ad508f71,0b2e1b17ad508f71,PASS,"A_ac: (37, 63) (37x63), DC: scalar (theta[0])"
test002,50.0,37604,4acdb439e0284d69,4bc16964a25430fd,a5ed13de9744104a,4c7824b75d9789b2,171f52b2b9afdac9,118ac3096d1a1c95,118ac3096d1a1c95,118ac3096d1a1c95,118ac3096d1a1c95,PASS,"A_ac: (37, 63) (37x63), DC: scalar (theta[0])"
test003,50.0,37604,084b567e41ce74d5,36d42bdd29a9b39f,a5ed13de9744104a,4c7824b75d9789b2,67b6955b8c6cc0c1,3d63dfa2e879f731,3d63dfa2e879f731,3d63dfa2e879f731,3d63dfa2e879f731,PASS,"A_ac: (37, 63) (37x63), DC: scalar (theta[0])"
test004,50.0,37604,b64c81715209d578,8c8a038e817a4f82,a5ed13de9744104a,4c7824b75d9789b2,827629e0ff90ebe3,7f5f4bb40e935ccd,7f5f4bb40e935ccd,7f5f4bb40e935ccd,7f5f4bb40e935ccd,PASS,"A_ac: (37, 63) (37x63), DC: scalar (theta[0])"
test005,50.0,37604,8da1db3626e76507,a25d66a2d60e9e3c,a5ed13de9744104a,4c7824b75d9789b2,5a03048b87ede4ed,ffa0156a9b8cc53c,ffa0156a9b8cc53c,ffa0156a9b8cc53c,ffa0156a9b8cc53c,PASS,"A_ac: (37, 63) (37x63), DC: scalar (theta[0])"
test006,50.0,37604,379ae9a750014a40,8dec56dd7e7c3edd,a5ed13de9744104a,4c7824b75d9789b2,7f6d8da8f8135861,d14114b2f8bbb78a,d14114b2f8bbb78a,d14114b2f8bbb78a,d14114b2f8bbb78a,PASS,"A_ac: (37, 63) (37x63), DC: scalar (theta[0])"
test007,50.0,37604,02862254a56d809f,fb9a5413e60aa5c3,a5ed13de9744104a,4c7824b75d9789b2,3ac152dfe7d52387,01aa94ca5d3d5995,01aa94ca5d3d5995,01aa94ca5d3d5995,01aa94ca5d3d5995,PASS,"A_ac: (37, 63) (37x63), DC: scalar (theta[0])"
test008,50.0,37604,7c190224a4e2ab10,7648f5734b5fbaee,a5ed13de9744104a,4c7824b75d9789b2,2a9a0af7eaf0bb5b,d139122f2c60a9d0,d139122f2c60a9d0,d139122f2c60a9d0,d139122f2c60a9d0,PASS,"A_ac: (37, 63) (37x63), DC: scalar (theta[0])"
test009,50.0,37604,fe6b3d6ee4249ea7,055b17387196df81,a5ed13de9744104a,4c7824b75d9789b2,1eff9fa49a14025f,d067332e2a765e0d,d067332e2a765e0d,d067332e2a765e0d,d067332e2a765e0d,PASS,"A_ac: (37, 63) (37x63), DC: scalar (theta[0])"
test010,50.0,37604,23b6cd24f00ba63d,54fa7d8a10f05bf9,a5ed13de9744104a,4c7824b75d9789b2,4bfb17db8637f49e,95f8ae97b9112b1f,95f8ae97b9112b1f,95f8ae97b9112b1f,95f8ae97b9112b1f,PASS,"A_ac: (37, 63) (37x63), DC: scalar (theta[0])"
